"kvzId","externalOrderNo"
"95120R39",1271
"21541R61","folgt"
"21541R92","folgt"
"21541R103","folgt"
"21541A85","folgt"
"21541A601","folgt"
"86521A18",1280
"33381A100",1188
"23051R552",1272
"36614A6",1273
"36612A51",1283
"36612A13",1283
"34556A17",1276
"34556R33",1276
"34556A15",1276
"3452R209",1274
"86521R14",1281
"73131A17",1277
"73131A19",1277
"28552A522",1282
"8312R24",1278
"622138R510",1286
"62212A43",1286
"62246A49",1286
"23052R550",1272
"25941R126",1288
"36612R533",1287
"36612R13",1287
"36612A90",1287
"3452A69",1275
"3452A44",1275
"3452R263",1275
"3452R78",1274
"33813A626",1291
"33788A32",1270
"21028A7",19332
"21024A14",19332
"33793R28",1297
"33793R66",1297
"36614A8",1273
"86511A31",1279
"86511R596",1279
"86511A80",1279
"86511A80",1279
"75415R11",1293
"86511A43",1299
"86511A18",1299
"366052R16",1298
"366052A8",1298
"3654A71",1298
"36612A533",1303
"86527R504",1308
"AUTO",1304
"33793R64",1297
"8717R38",1311
"8717A23",1311
"36612R20",1287
"36612A21",1287
"21046A10",1305
"84501A34",1311
"63712A7",1321
"62156A555",1313
"337082A27",1304
"62167R41",1310
"62167A41",1310
"366012R14",1333
"703181A56",1316
"366932R2",1298
"82149R505",18894
"366932R12",1298
"92816R7",1329
"8418V8039",1311
"62414R133",1336
"33711A83",1324
"33711A86",1324
"33788A31",1315
"33788A53",1315
"33788A51",1315
"92861A22",1330
"52515R639",1331
"30944A54",1337
"30944R13",1337
"30944A603",1337
"36432A36",1332
"33773R120",1325
"86521R12",1341
"86511A45",1341
"33381A61",1339
"33381A88",1339
"33381A16",1344
"33381A102",1344
"8418V8092",1311
"36414R213",1338
"3614A603",1338
"36416R32",1338
"36414A562",1338
"30944A67",1339
"30944A45",1339
"30944A646",1344
"86521A15",1341
"28611A135",1343
"28635A503",1342
"33381A65",1339
"25711R18",1355
"92819A43",1358
"92819R508",1358
"92816R531",1358
"33759A10",1352
"89319A21",1349
"89319A26",1349
"AUTO",1339
"30944R37",1339
"30944A37",1359
"337627A42",1350
"337627A9",1350
"33752A40",1351
"621R597",1366
"6212A57",1366
"6212A109",1366
"6212A8",1366
33622636,1352
"337632A119",1368
"81611A22",1300
"34186A22",1367
"34186A114",1367
"3418R112",1367
"337627A245",1370
"73073A8",1354
"73073A508",1354
"33755A13",1368
"30679A502",1370
"33622A49",1369
"337627A20",1368
"337627A18",1370
"21291A594",1328
"63221A1",1389
"88036A7",1361
"71215R545",1255
"71213R50",1255
"30944R603",1387
"86541A17",1360
"86541A64",1360
"86541A22",1360
"6212A4",1366
"96211R24",1390
"36414A127",1378
"36414A560",1378
"36414R667",1378
"332032R533",1385
"9413A69",1393
"9419A602",1393
"9413A568",1393
"33296A34",1385
"33296R39",1385
"94031A605",1379
"33284R36",1385
"33284A25",1385
"33284A59",1384
"33284R57",1384
"92321A57",1383
"92321A3",1383
"92321A12",1383
3339416027,1407
"87317R8",1399
"8413A16",1396
"36414R613",1400
"9414R81",1406
"94179A589",1406
"94171A540",1406
"30649A8",1401
"33296A7",1402
"62173V7307",1414
"62173A68",1414
"34473V1200",1418
"92311A26",1416
"36432A3",1409
"3654A26",1419
"62034A1",1414
"90711A503",1420
"8415R503",1417
"63241A44",1430
841633,1423
"8416A60",1423
"34473A48",1418
"36612A514",1424
3420714794,17313
"342041A25",17313
"34121A11",19341
"71712A43",1443
"83827A525",1442
"92851A7",1437
"92531A5",1437
"92321A71",1437
"33612A13",1441
"33612A70",1441
"336321A6",1434
"33043A101",1436
"33043A601",1436
341218213,19341
"AUTO",19341
"34186R144",19341
"34121A17",19341
"34121A23",19341
"34121V1002",19341
"34121A35",19341
"34121A19",19341
"34121V1",19341
"34121A21",19341
"92311A506",1435
"92311R37",1435
"92317A12",1440
"34478R548",1447
"34473A643",1447
"keine ID in Liste",1447
"96211A20",1380
"3654A132",1452
"3658R534",1452
"3654A81",1452
"92311A20",1435
"61425A4",1454
"36632A11",1446
"36632A15",1445
"36632A514",1451
"92321A2",1435
336311751,1472
"33661A504",1472
"33661A4",1472
"33612A13",1472
336781367,1472
"76121A50",1470
"713141R531",1363
"71439A14",1425
"71439A33",1425
"33622R97",1466
"3658A34",1461
"3362A90",1477
"33622A93",1477
"30649A35",1466
"96217R85",1492
"76121A10",1470
336311743,1471
"28311R4",1486
"364812R47",1493
"366472R11",1485
"36632R12",1484
"24042A82",1490
"24052A86",1490
"334391A21",1504
336311750,1501
"25091A15",1502
"334391A45",1504
"28311A19",1486
"21047A506",1322
336311740,1509
336311764,1508
"22345V1006",1513
"22345A56",1513
"22345A77",1513
"28311A41",1486
"336061A9",1517
"337082R4",1151
"334351A17",1514
"30649A34",1466
"33414A26",1514
"334351R512",1514
"9216A2",1507
"9213R17",1507
"73471A28",1524
"67371A10",1521
"82131R155",1526
"82131A51",1526
"84311A40",1551
"90812A24",1463
"36632A511",1460
"364822R12",1544
"33811A33",1541
"33811R33",1541
"332323V9001",1537
"332323V9021",1537
"332323A526",1537
"332323V9020",1537
"332323A17",1537
"332323A38",1537
"332348R22",1537
"33222V9010",1537
"73911R86",1554
"73911A58",1554
"332348A30",1542
"73051A26",1553
"73051A2",1553
"332072A36",1536
"332072A14",1536
"33822A26",1536
"33822A21",1536
"54811R84",1539
"54811A15",1539
"33214A514",1534
"33214A39",1535
"33214V4005",1535
"33912R1",1558
"33912R18",1558
"33915A14",1558
"364812R7",1543
"364812A10",1543
"9414A708",1538
"9414A83",1538
"94171R12",1538
"82451R6",1561
"73051A6",1540
"83827A3",1571
"70318A49",1562
"364582A35",1580
"73482R22",1568
"54811A16",1539
"33912A18",1565
"33912A18",1566
"33915A520",1566
"33222A209",1567
"33222A702",1567
"33222R707",1567
"332311R1",1567
"366282A19",1525
"37416A10",1576
"83222A553",1231
"73051A107",1581
6233730,1563
374149170,1592
"96211A125",1596
"8717A19",1573
"82611R31",1598
"76331A500",1583
"33414A67",1590
"33222A137",1594
"33222A113",1599
"33222R628",1599
"60271A26",1585
"33412A137",1590
"33412A150",1590
"334561R19",1590
"374632R20",1576
"374632A26",1576
"62041A114",1578
"62041A62",1578
620411,1578
"61518R49",1578
"61518R46",1578
"61502R39",1578
"364592R4",1627
"36414A675",1452
"36414A96",1452
"70713A51",1512
"96421R4",1628
"96421R28",1628
"96421A28",1628
"75611A432",1258
"75611A26",1258
"34482A299",1503
"96441R14",1626
"96441A17",1626
"366462A903",1525
"33773A148",1488
"7511A94",1395
"8716A2",1573
,1552
"22612V2043",1611
"22612A63",1611
"22612A506",1611
"23711A553",1611
"23711A39",1611
"27622A5",1611
"27612A527",1611
"21621A61",1611
"21621A16",1611
"33414R21",1629
"33414A19",1629
"33412A62",1630
"33412A139",1630
"33414A1",1630
"36432A141",1646
"33222A684",1620
"33222A185",1620
"33222R200",1620
"91831R40",1636
"72431R519",1608
"33222A157",1613
"36218R54",1660
"35528A9",1623
"33912R520",1644
"33013A91",1610
"37412A12",1635
"37412A78",1635
"61822A46",1619
"36432F",1244
"36432A29",1659
"36432A35",1659
"33073A28",1616
"33073A27",1616
"29411A53",1611
"29411A565",1611
"33788R47",1209
"86541A54",1682
"86541A87",1682
"23516A22",1685
"23511A68",1685
"26021A7",1674
"26026A508",1674
"366032A13",1695
"34473A152",1694
"23511A78",1692
374149384,1691
"37414A33",1691
"78411A61",1670
"6212R68",1414
"8316A13",1658
"26031R25",1711
"81618R41",1520
"36212V1000",1710
"21737A79",1672
"235112R27",1662
"23511R529",1662
"235112A23",1662
"23518R556",1662
"23518R537",1662
"23518R36",1663
"23517R26",1692
"36414R336",1522
"36414A95",1522
"334391V1062",1697
"AUTO",1697
"334391B56",1697
"337662R102",1683
"332054A16",1696
"ohne",1435
"98741A501",1676
"37652A83",1737
"39161A20",1721
"39173A93",1721
"39171A94",1721
"34412A152",1738
"22345A18",1713
"23511A119",1736
"23511A23",1736
"21731R7",1753
"72171R51",1722
"8716R51",1723
"8712R563",1723
"33788A40",1720
"334391A34",1725
"33414A18",1725
"334391A28",1725
3339717046,1724
3339717056,1724
3339717025,1724
"6212A31",1747
"28332A10",1770
"74411A30",1771
"3918R542",1752
"6212A65",1767
3339717030,1742
